nthreads,time1,time2,time3,time4,time5
2,0.00,0.00,0.00,0.00,0.00
nthreads,time1,time2,time3,time4,time5
2,0.00,0.00,0.00,0.00,0.00
nthreads,time1,time2,time3,time4,time5
2,0.00,0.00,0.00,0.00,0.00
nthreads,time1,time2,time3,time4,time5
2,0.00,0.00,0.00,0.00,0.00
nthreads,time1,time2,time3,time4,time5
2,0.00,0.00,0.00,0.00,0.00
nthreads,time1,time2,time3,time4,time5
1,0.00,0.00,0.00,0.00,0.00
2,0.00,0.00,0.00,0.00,0.00
nthreads,time1,time2,time3,time4,time5
1,0.00,0.00,0.00,0.00,0.00
2,0.00,0.00,0.00,0.00,0.00
nthreads,time1,time2,time3,time4,time5
1,0.00,0.00,0.00,0.00,0.00
2,0.00,0.00,0.00,0.00,0.00
nthreads,time1,time2,time3,time4,time5
2,0.10,0.05,0.05,0.05,0.04
